State of the Academy 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. What class are you in?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2019,,2020,,2021,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",69.17%,267,30.83%,119,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,73.92%,771,26.08%,272,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q91. Has attending Andover affected your relationship with your family?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, positively",,"Yes, negatively",,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,41.18%,189,30.94%,142,27.89%,128,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",39.39%,78,37.37%,74,23.23%,46,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",39.90%,154,34.97%,135,25.13%,97,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,40.36%,421,33.65%,351,25.98%,271,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q92. If you are a day student, on average how much time do you spend on campus every school day beyond your required academic and athletic commitments?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 hours or more,,9 hours,,8 hours,,7 hours,,6 hours,,5 hours,,4 hours,,3 hours,,2 hours,,1 hour or less,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,3.49%,16,0.00%,0,1.09%,5,2.18%,10,4.14%,19,7.84%,36,5.45%,25,4.14%,19,5.23%,24,1.74%,8,64.71%,297,44.01%,459,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",3.03%,6,0.00%,0,0.51%,1,0.00%,0,3.03%,6,5.05%,10,4.04%,8,3.54%,7,1.52%,3,1.52%,3,77.78%,154,18.98%,198,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",3.11%,12,0.26%,1,0.78%,3,1.81%,7,4.92%,19,3.11%,12,2.59%,10,1.30%,5,1.55%,6,1.81%,7,78.76%,304,37.01%,386,,,,,,,,,,,,,,,,,,,,
Total,3.26%,34,0.10%,1,0.86%,9,1.63%,17,4.22%,44,5.56%,58,4.12%,43,2.97%,31,3.16%,33,1.73%,18,72.39%,755,100.00%,1043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q93. Do you think day students are able to integrate with boarding students on campus?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,76.25%,350,23.75%,109,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",67.17%,133,32.83%,65,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",73.58%,284,26.42%,102,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,73.54%,767,26.46%,276,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q94. Do you have a learning disability?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,5.66%,26,94.34%,433,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",10.10%,20,89.90%,178,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",14.25%,55,85.75%,331,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,9.68%,101,90.32%,942,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q95. Do you think Andover adequately accommodates students with learning disabilities?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,60.78%,279,39.22%,180,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",51.52%,102,48.48%,96,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",61.66%,238,38.34%,148,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,59.35%,619,40.65%,424,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96. Do you support a change in the current academic schedule? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,44.44%,204,55.56%,255,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",45.45%,90,54.55%,108,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",45.34%,175,54.66%,211,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,44.97%,469,55.03%,574,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q97. What do you think of the overall diversity of the faculty?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The faculty is diverse enough,,The faculty is not diverse enough,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,60.57%,278,39.43%,181,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",51.52%,102,48.48%,96,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",61.14%,236,38.86%,150,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,59.06%,616,40.94%,427,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q98. Do you feel like there is a social divide at Andover between students of different __________? Check all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abilities,,Ethnicities,,Genders,,Political beliefs,,Races,,Religions,,Sexual orientations,,Socioeconomic statuses,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,39.00%,179,53.16%,244,42.70%,196,61.22%,281,70.59%,324,12.85%,59,35.51%,163,59.69%,274,6.75%,31,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",50.00%,99,56.57%,112,54.04%,107,68.69%,136,77.78%,154,20.71%,41,48.48%,96,69.70%,138,5.56%,11,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",41.97%,162,56.99%,220,48.96%,189,68.39%,264,74.09%,286,15.54%,60,44.56%,172,62.95%,243,6.74%,26,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,
Total,42.19%,440,55.23%,576,47.17%,492,65.29%,681,73.25%,764,15.34%,160,41.32%,431,62.80%,655,6.52%,68,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99. Do you think your ability to attain leadership positions at Andover is affected by your __________? Check all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ability,,Ethnicity,,Gender,,Political beliefs,,Race,,Religion,,Sexual orientation,,Socioeconomic status,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,35.73%,164,28.32%,130,33.99%,156,26.14%,120,40.52%,186,5.88%,27,10.02%,46,19.61%,90,30.72%,141,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",39.39%,78,44.44%,88,51.01%,101,38.38%,76,56.06%,111,12.12%,24,19.19%,38,31.82%,63,19.19%,38,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",34.46%,133,37.31%,144,45.08%,174,38.60%,149,51.81%,200,9.33%,36,19.69%,76,30.83%,119,23.83%,92,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,
Total,35.95%,375,34.71%,362,41.32%,431,33.08%,345,47.65%,497,8.34%,87,15.34%,160,26.08%,272,25.98%,271,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q100. Have you ever felt discriminated against at Andover due to your __________? Check all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ability,,Ethnicity,,Gender,,Political beliefs,,Race,,Religion,,Sexual orientation,,Socioeconomic status,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,10.89%,50,21.35%,98,20.04%,92,14.38%,66,24.84%,114,7.84%,36,5.45%,25,15.47%,71,46.84%,215,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",19.19%,38,29.80%,59,25.76%,51,26.26%,52,44.95%,89,12.12%,24,9.60%,19,26.77%,53,31.82%,63,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",16.84%,65,27.46%,106,28.24%,109,30.57%,118,33.94%,131,9.84%,38,11.92%,46,29.02%,112,30.57%,118,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,
Total,14.67%,153,25.22%,263,24.16%,252,22.63%,236,32.02%,334,9.40%,98,8.63%,90,22.63%,236,37.97%,396,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q101. Which facet or facets of identity do you think is/are discussed least at Andover? Check all that apply.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ability,,Ethnicity,,Gender,,Political beliefs,,Race,,Religion,,Sexual orientation,,Socioeconomic status,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,58.61%,269,10.89%,50,6.10%,28,42.27%,194,5.01%,23,49.24%,226,15.03%,69,57.30%,263,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",56.57%,112,15.66%,31,9.09%,18,39.39%,78,8.59%,17,46.97%,93,17.17%,34,61.11%,121,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",53.63%,207,10.10%,39,6.22%,24,40.93%,158,6.22%,24,40.41%,156,12.44%,48,51.55%,199,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,56.38%,588,11.51%,120,6.71%,70,41.23%,430,6.14%,64,45.54%,475,14.48%,151,55.90%,583,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q102. Have you ever sat before a Disciplinary Committee (DC)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,1.96%,9,98.04%,450,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",2.02%,4,97.98%,194,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",12.44%,48,87.56%,338,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5.85%,61,94.15%,982,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103. Do you think that the DC system effectively disciplines students who are caught breaking school rules?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,"No, discipline should be harsher",,"No, discipline should be more lenient",,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,100.00%,459,0.00%,0,0.00%,0,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",0.00%,0,100.00%,198,0.00%,0,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",0.00%,0,0.00%,0,100.00%,386,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,44.01%,459,18.98%,198,37.01%,386,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q104. Have you ever been sanctuaried?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,3.05%,14,96.95%,445,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",3.54%,7,96.46%,191,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",10.36%,40,89.64%,346,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5.85%,61,94.15%,982,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q105. Have you ever sanctuaried someone else?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,3.49%,16,96.51%,443,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",9.09%,18,90.91%,180,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",6.22%,24,93.78%,362,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5.56%,58,94.44%,985,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q106. Have you ever cheated on any tests, quizzes, or in-class assessments?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,23.53%,108,76.47%,351,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",23.23%,46,76.77%,152,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",39.38%,152,60.62%,234,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,29.34%,306,70.66%,737,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q107. Have you ever plagiarized?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,7.19%,33,92.81%,426,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",6.57%,13,93.43%,185,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",17.10%,66,82.90%,320,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,10.74%,112,89.26%,931,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q108. Have you ever committed a major offense without being caught? (Major offenses include, but are not limited to: academic dishonesty, drugs and alcohol, cruising, gambling, and downloading/sharing sexually explicit content)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,33.55%,154,66.45%,305,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",35.35%,70,64.65%,128,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",61.92%,239,38.08%,147,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,44.39%,463,55.61%,580,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q109. Do you think that the administration should have the right to search an entire dorm for contraband material?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,51.42%,236,48.58%,223,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",59.09%,117,40.91%,81,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",19.43%,75,80.57%,311,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,41.04%,428,58.96%,615,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q110. Do you think that the school’s disciplinary system favors students of privileged backgrounds?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,73.20%,336,26.80%,123,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",89.90%,178,10.10%,20,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",77.72%,300,22.28%,86,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,78.04%,814,21.96%,229,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q111. Do you support changes in room visit policies?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, they should be stricter",,"No, they should remain the same",,"Yes, they should be more lenient",,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,2.40%,11,11.55%,53,86.06%,395,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",5.05%,10,13.64%,27,81.31%,161,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",0.78%,3,3.11%,12,96.11%,371,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2.30%,24,8.82%,92,88.88%,927,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
